,Orientation,Ventilation,Shading,Insulation Thickness,Window to Wall Ratio,Electricity:Facility,DistrictCooling:Facility,DistrictHeating:Facility,total (Q)
40,0,0.12,3.0583363181248693,0.4312929891900396,0.4915520354722728,5773034362.5,0.0,15643459944.096565,126.94288974169453
41,0,0.0,8.029317786404926,0.4207942912930131,0.8326153218245264,5773034362.5,15501357.691850536,17281647447.753506,136.74486945826322
42,270,0.0,8.88893343848974,0.20578772235817017,0.5895111688776841,5770784551.82317,6595667.03579519,17211174115.158356,136.2610274289971
43,90,0.0,3.3500439268883593,0.46140597213289797,0.7849925433235834,5772092885.640438,17433535.24640242,16673084521.595234,133.14358098765925
44,270,0.0,1.44647481890754,0.2834965924643663,0.6790343817116322,5769773063.096381,8256984.284556139,17055955666.26827,135.3448463280187
45,180,0.12,11.423710692579236,0.09899175508766903,0.7894527375866147,5772983441.081194,5418654.842343876,19417109902.648125,149.34242065168795
46,0,0.12,19.003150623009073,0.021123092489685975,0.32158569043837393,5773034362.5,38748444.272735775,25220676618.96191,183.9400052547942
47,0,0.0,29.42426804026423,0.22358301612320294,0.2745890869495264,5773034362.5,4049619.5553669385,15410811212.417362,125.58790458539622
48,0,0.0,23.30557027997968,0.3707139873640653,0.11631201474756694,5773034362.5,0.0,13873379033.801762,116.4510145256737
49,90,0.0,13.299588745238188,0.4968843879415707,0.6132767027652936,5772414339.500577,3937247.765241095,15871906622.371964,128.31663369664253
50,0,0.0,3.684286694551967,0.0392254337285276,0.8269469358893314,5773034362.5,168950010.21419045,23639905029.280544,175.34198038900163
51,180,0.0,15.25758237045229,0.0971860237237348,0.517022634843541,5773034362.5,22701216.094103634,18461697436.34173,143.7821055373695
52,0,0.12,6.687682604685002,0.3450167011551159,0.8399951381040313,5773034362.5,0.0,17498406592.191284,137.93779322378708
53,0,0.12,13.897680830408305,0.4735890544359984,0.7342221161980563,5773034362.5,0.0,16702581895.991539,133.2206679456184
54,270,0.0,22.470286488890924,0.1926686230213487,0.6567598854580472,5770056711.993019,14363596.69892438,17653045218.769695,138.92187767448578
55,270,0.0,8.148743263543599,0.38346078029808073,0.29474096233841685,5772620434.33106,0.0,14861522028.575773,122.30562267029867
56,180,0.12,2.3859652199711205,0.2352885630020998,0.5504809505768111,5773034362.5,0.0,16460381398.92707,131.78506272685166
