Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),Electricity:Facility [J](Daily),InteriorEquipment:Electricity [J](Daily),InteriorLights:Electricity [J](Daily),Electricity:Facility [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:Facility [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/02  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,2848659.058600564,0.0,,,,,,,,,,0.0,1436293.128948396,0.0 
 01/02  04:30:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1430493.186367718,0.0 
 01/02  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,2855005.0378873248,0.0,,,,,,,,,,0.0,1424511.8515196068,0.0 
 01/02  05:30:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1430247.1036087513,0.0 
 01/02  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,2865663.422153572,0.0,,,,,,,,,,0.0,1435416.3185448209,0.0 
 01/02  06:30:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1432750.5164545442,0.0 
 01/02  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,2862826.4652881596,0.0,,,,,,,,,,0.0,1430075.948833615,0.0 
 01/02  07:30:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1642106.416410041,0.0 
 01/02  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,3294033.2463650146,0.0,,,,,,,,,,0.0,1651926.8299549735,0.0 
 01/02  08:30:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1809225.478971277,0.0 
 01/02  09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,3567126.679455363,0.0,,,,,,,,,,0.0,1757901.2004840866,0.0 
 01/02  09:30:00,452306.25,452306.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1548807.7606454015,0.0 
 01/02  10:00:00,452306.25,452306.25,0.0,904612.5,904612.5,0.0,,,,,,,,,,0.0,3022298.7717201637,0.0,,,,,,,,,,0.0,1473491.0110747619,0.0 
 01/02  10:30:00,452306.25,452306.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1244030.6451006439,0.0 
 01/02  11:00:00,452306.25,452306.25,0.0,904612.5,904612.5,0.0,,,,,,,,,,0.0,2460284.1428020319,0.0,,,,,,,,,,0.0,1216253.4977013879,0.0 
 01/02  11:30:00,452306.25,452306.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1187363.5683477857,0.0 
 01/02  12:00:00,452306.25,452306.25,0.0,904612.5,904612.5,0.0,,,,,,,,,,0.0,2348561.9280201105,0.0,,,,,,,,,,0.0,1161198.3596723248,0.0 
 01/02  12:30:00,452306.25,452306.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1155187.9051113306,0.0 
 01/02  13:00:00,452306.25,452306.25,0.0,904612.5,904612.5,0.0,,,,,,,,,,0.0,2304003.5562234709,0.0,,,,,,,,,,0.0,1148815.65111214,0.0 
 01/02  13:30:00,452306.25,452306.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1139091.155825439,0.0 
 01/02  14:00:00,452306.25,452306.25,0.0,904612.5,904612.5,0.0,,,,,,,,,,0.0,2270492.9954553626,0.0,,,,,,,,,,0.0,1131401.8396299235,0.0 
 01/02  14:30:00,452306.25,452306.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1118548.9550489702,0.0 
 01/02  15:00:00,452306.25,452306.25,0.0,904612.5,904612.5,0.0,,,,,,,,,,0.0,2224414.6648847239,0.0,,,,,,,,,,0.0,1105865.7098357534,0.0 
 01/02  15:30:00,452306.25,452306.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1115614.845915896,0.0 
 01/02  16:00:00,452306.25,452306.25,0.0,904612.5,904612.5,0.0,,,,,,,,,,0.0,2247826.8980078727,0.0,,,,,,,,,,0.0,1132212.0520919767,0.0 
 01/02  16:30:00,452306.25,452306.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1171549.6882478188,0.0 
 01/02  17:00:00,452306.25,452306.25,0.0,904612.5,904612.5,0.0,,,,,,,,,,0.0,2377144.5470090454,0.0,,,,,,,,,,0.0,1205594.8587612264,0.0 
 01/02  17:30:00,452306.25,452306.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1337733.494396325,0.0 
 01/02  18:00:00,452306.25,452306.25,0.0,904612.5,904612.5,0.0,,,,,,,,,,0.0,2706230.048411236,0.0,,,,,,,,,,0.0,1368496.5540149115,0.0 
 01/02  18:30:00,633228.75,452306.25,180922.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1398235.3391398527,0.0 
 01/02  19:00:00,633228.75,452306.25,180922.5,1266457.5,904612.5,361845.0,,,,,,,,,,0.0,2797752.9676541539,0.0,,,,,,,,,,0.0,1399517.6285143013,0.0 
 01/02  19:30:00,633228.75,452306.25,180922.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1511251.4673743468,0.0 
 01/02  20:00:00,633228.75,452306.25,180922.5,1266457.5,904612.5,361845.0,,,,,,,,,,0.0,3033410.3973189254,0.0,,,,,,,,,,0.0,1522158.9299445786,0.0 
 01/02  20:30:00,633228.75,452306.25,180922.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1629231.5660835775,0.0 
 01/02  21:00:00,633228.75,452306.25,180922.5,1266457.5,904612.5,361845.0,,,,,,,,,,0.0,3264523.0003375,0.0,,,,,,,,,,0.0,1635291.434253923,0.0 
 01/02  21:30:00,633228.75,452306.25,180922.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1637384.5058999533,0.0 
 01/02  22:00:00,633228.75,452306.25,180922.5,1266457.5,904612.5,361845.0,,,,,,,,,,0.0,3276672.029946096,0.0,,,,,,,,,,0.0,1639287.5240461427,0.0 
 01/02  22:30:00,180922.5,0.0,180922.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1494036.1051447704,0.0 
 01/02  23:00:00,180922.5,0.0,180922.5,361845.0,0.0,361845.0,,,,,,,,,,0.0,3001423.7572041798,0.0,,,,,,,,,,0.0,1507387.6520594096,0.0 
 01/02  23:30:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1400404.1658531209,0.0 
 01/02  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,13569187.5,11759962.5,1809225.0,,,,,,,0.0,2823115.579690731,0.0,0.0,65995322.77762102,0.0,,,,,,,0.0,1422711.41383761,0.0 
 01/03  00:30:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1304315.8572872258,0.0 
 01/03  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,2590863.028380666,0.0,,,,,,,,,,0.0,1286547.1710934402,0.0 
 01/03  01:30:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1293787.1551425555,0.0 
 01/03  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,2594655.494880464,0.0,,,,,,,,,,0.0,1300868.3397379087,0.0 
 01/03  02:30:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1312044.4272433199,0.0 
 01/03  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,2635166.5845285395,0.0,,,,,,,,,,0.0,1323122.1572852198,0.0 
 01/03  03:30:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1333201.3637249564,0.0 
 01/03  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,2676418.400748611,0.0,,,,,,,,,,0.0,1343217.0370236547,0.0 
 01/03  04:30:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1356327.786927492,0.0 
 01/03  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,2725725.6387950556,0.0,,,,,,,,,,0.0,1369397.8518675639,0.0 
 01/03  05:30:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1376259.5348780472,0.0 
 01/03  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,2759345.936386762,0.0,,,,,,,,,,0.0,1383086.4015087148,0.0 
 01/03  06:30:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1383112.0348012692,0.0 
 01/03  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,2766185.325087237,0.0,,,,,,,,,,0.0,1383073.290285968,0.0 
 01/03  07:30:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1586433.7483135062,0.0 
 01/03  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,3174028.0135292496,0.0,,,,,,,,,,0.0,1587594.2652157434,0.0 
 01/03  08:30:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1793957.9935704699,0.0 
 01/03  09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,3590521.622144584,0.0,,,,,,,,,,0.0,1796563.6285741144,0.0 
 01/03  09:30:00,452306.25,452306.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1642478.3424482155,0.0 
 01/03  10:00:00,452306.25,452306.25,0.0,904612.5,904612.5,0.0,,,,,,,,,,0.0,3265619.5459355826,0.0,,,,,,,,,,0.0,1623141.2034873672,0.0 
 01/03  10:30:00,452306.25,452306.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1396136.8118958066,0.0 
 01/03  11:00:00,452306.25,452306.25,0.0,904612.5,904612.5,0.0,,,,,,,,,,0.0,2768092.298884507,0.0,,,,,,,,,,0.0,1371955.4869887003,0.0 
 01/03  11:30:00,452306.25,452306.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1352803.221095559,0.0 
 01/03  12:00:00,452306.25,452306.25,0.0,904612.5,904612.5,0.0,,,,,,,,,,0.0,2687085.518270146,0.0,,,,,,,,,,0.0,1334282.297174587,0.0 
 01/03  12:30:00,452306.25,452306.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1327998.6388884756,0.0 
 01/03  13:00:00,452306.25,452306.25,0.0,904612.5,904612.5,0.0,,,,,,,,,,0.0,2641595.056384958,0.0,,,,,,,,,,0.0,1313596.4174964824,0.0 
 01/03  13:30:00,452306.25,452306.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1302645.8213323926,0.0 
 01/03  14:00:00,452306.25,452306.25,0.0,904612.5,904612.5,0.0,,,,,,,,,,0.0,2585583.654280674,0.0,,,,,,,,,,0.0,1282937.8329482817,0.0 
 01/03  14:30:00,452306.25,452306.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1281236.5761198244,0.0 
 01/03  15:00:00,452306.25,452306.25,0.0,904612.5,904612.5,0.0,,,,,,,,,,0.0,2561335.1835916626,0.0,,,,,,,,,,0.0,1280098.6074718382,0.0 
 01/03  15:30:00,452306.25,452306.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1297609.5383900684,0.0 
 01/03  16:00:00,452306.25,452306.25,0.0,904612.5,904612.5,0.0,,,,,,,,,,0.0,2603938.903027181,0.0,,,,,,,,,,0.0,1306329.3646371128,0.0 
 01/03  16:30:00,452306.25,452306.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1325243.7594898632,0.0 
 01/03  17:00:00,452306.25,452306.25,0.0,904612.5,904612.5,0.0,,,,,,,,,,0.0,2659114.4299169939,0.0,,,,,,,,,,0.0,1333870.6704271308,0.0 
 01/03  17:30:00,452306.25,452306.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1452892.6607632866,0.0 
 01/03  18:00:00,452306.25,452306.25,0.0,904612.5,904612.5,0.0,,,,,,,,,,0.0,2923842.2247037196,0.0,,,,,,,,,,0.0,1470949.5639404329,0.0 
 01/03  18:30:00,633228.75,452306.25,180922.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1506484.2326937912,0.0 
 01/03  19:00:00,633228.75,452306.25,180922.5,1266457.5,904612.5,361845.0,,,,,,,,,,0.0,3020442.5055123146,0.0,,,,,,,,,,0.0,1513958.2728185233,0.0 
 01/03  19:30:00,633228.75,452306.25,180922.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1618304.6517227535,0.0 
 01/03  20:00:00,633228.75,452306.25,180922.5,1266457.5,904612.5,361845.0,,,,,,,,,,0.0,3240207.365804962,0.0,,,,,,,,,,0.0,1621902.7140822085,0.0 
 01/03  20:30:00,633228.75,452306.25,180922.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1720732.1931568944,0.0 
 01/03  21:00:00,633228.75,452306.25,180922.5,1266457.5,904612.5,361845.0,,,,,,,,,,0.0,3439411.4329383869,0.0,,,,,,,,,,0.0,1718679.2397814922,0.0 
 01/03  21:30:00,633228.75,452306.25,180922.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1719393.4422011546,0.0 
 01/03  22:00:00,633228.75,452306.25,180922.5,1266457.5,904612.5,361845.0,,,,,,,,,,0.0,3439489.138163695,0.0,,,,,,,,,,0.0,1720095.6959625404,0.0 
 01/03  22:30:00,180922.5,0.0,180922.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1562087.7225113933,0.0 
 01/03  23:00:00,180922.5,0.0,180922.5,361845.0,0.0,361845.0,,,,,,,,,,0.0,3128606.015945087,0.0,,,,,,,,,,0.0,1566518.2934336942,0.0 
 01/03  23:30:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1438041.792859273,0.0 
